email,gender,id,stepId,questionId,answerValue,answerId,answerTypeId
emilija+100_L8gA@bss.mk,F,67b70a9f2d21f543a1096602,5c8a78336d41a10da4f730ef,5c8a78336d41a10da4f730f0,,5c8a78336d41a10da4f730f2,Answer
emilija+100_L8gA@bss.mk,F,67b70a9f2d21f543a1096602,6507da8d9e117216630ef7ed,6507de7e9e117216630ef7f2,emilija+100_L8gA@bss.mk,,Answer
emilija+100_L8gA@bss.mk,F,67b70a9f2d21f543a1096602,6507dfbb9e117216630ef7f3,6507e0219e117216630ef7f5,3138,,Answer
emilija+100_L8gA@bss.mk,F,67b70a9f2d21f543a1096602,5c8a78336d41a10da4f733ce,5c8a78336d41a10da4f733d8,Eme,,Answer
emilija+100_L8gA@bss.mk,F,67b70a9f2d21f543a1096602,5c8a78336d41a10da4f733ce,5c8a78336d41a10da4f733e2,Jankova,,Answer
emilija+100_L8gA@bss.mk,F,67b70a9f2d21f543a1096602,5c8a78336d41a10da4f733ce,5c8a78336d41a10da4f733cf,Emilija,,Answer
emilija+100_L8gA@bss.mk,F,67b70a9f2d21f543a1096602,5c8a78336d41a10da4f733ce,5c8a78336d41a10da4f733d9,,5c8a78336d41a10da4f733de,Answer
emilija+100_L8gA@bss.mk,F,67b70a9f2d21f543a1096602,5c8a78336d41a10da4f730f3,5c8a78336d41a10da4f730f4,Russia,5c8a78346d41a10da4f7348e,Country
emilija+100_L8gA@bss.mk,F,67b70a9f2d21f543a1096602,5c8a78336d41a10da4f730f3,5c8a78336d41a10da4f730f4,Komi Republic,5c8a78346d41a10da4f734a6,Region
emilija+100_L8gA@bss.mk,F,67b70a9f2d21f543a1096602,5c8a78336d41a10da4f730f3,5c8a78336d41a10da4f730f5,Komi,,Answer
emilija+100_L8gA@bss.mk,F,67b70a9f2d21f543a1096602,5c8a78336d41a10da4f730f3,5c8a78336d41a10da4f730fb,Ivo Ribar Lola 54a,,Answer
emilija+100_L8gA@bss.mk,F,67b70a9f2d21f543a1096602,5c8a78336d41a10da4f730f3,5c8a78336d41a10da4f730fc,78877665,,Answer
emilija+100_L8gA@bss.mk,F,67b70a9f2d21f543a1096602,5c8a78336d41a10da4f730f3,5c8a78336d41a10da4f730f7,True,,Answer
emilija+100_L8gA@bss.mk,F,67b70a9f2d21f543a1096602,5c8a78336d41a10da4f730f3,5d7a4eb1bd2e7e3e64f57a25,True,,Answer
emilija+100_L8gA@bss.mk,F,67b70a9f2d21f543a1096602,5c8a78336d41a10da4f730fd,5c8a78336d41a10da4f730fe,,5c8a78336d41a10da4f73100,Answer
emilija+100_L8gA@bss.mk,F,67b70a9f2d21f543a1096602,5c8a78336d41a10da4f730fd,5c8a78336d41a10da4f73104,,5c8a78336d41a10da4f7315f,Answer
emilija+100_L8gA@bss.mk,F,67b70a9f2d21f543a1096602,5c8a78336d41a10da4f730fd,5c8a78336d41a10da4f73104,,67acad10197e604dd2722d08,Answer
emilija+100_L8gA@bss.mk,F,67b70a9f2d21f543a1096602,65a51b5a097d28c29bcb7403,65a51b7a097d28c29bcb7404,,65a51b87097d28c29bcb7405,Answer
emilija+100_L8gA@bss.mk,F,67b70a9f2d21f543a1096602,65a51b5a097d28c29bcb7403,65a51b7a097d28c29bcb7404,,65a51b9a097d28c29bcb7406,Answer
emilija+100_L8gA@bss.mk,F,67b70a9f2d21f543a1096602,5c8a78336d41a10da4f73225,5c8a78336d41a10da4f7324a,,5c8a78336d41a10da4f7324e,Answer
emilija+100_L8gA@bss.mk,F,67b70a9f2d21f543a1096602,5c8a78336d41a10da4f73225,5c8a78336d41a10da4f73227,,5c8a78336d41a10da4f73244,Answer
emilija+100_L8gA@bss.mk,F,67b70a9f2d21f543a1096602,5c8a78336d41a10da4f73225,5c8a78336d41a10da4f73226,BSS,,Answer
emilija+100_L8gA@bss.mk,F,67b70a9f2d21f543a1096602,5c8a78336d41a10da4f73225,5c8a78336d41a10da4f73250,tester,,Answer
emilija+100_L8gA@bss.mk,F,67b70a9f2d21f543a1096602,5c8a78336d41a10da4f73252,5c8a78336d41a10da4f73253,,5c8a78336d41a10da4f73291,Answer
emilija+100_L8gA@bss.mk,F,67b70a9f2d21f543a1096602,5c8a78336d41a10da4f73252,5c8a78336d41a10da4f7334e,,5c8a78336d41a10da4f7334f,Answer
emilija+100_L8gA@bss.mk,F,67b70a9f2d21f543a1096602,5c8a78336d41a10da4f73252,5c8a78336d41a10da4f7334e,,5c8a78336d41a10da4f73350,Answer
emilija+100_L8gA@bss.mk,F,67b70a9f2d21f543a1096602,5c8a78336d41a10da4f73252,5c8a78336d41a10da4f73326,,5c8a78336d41a10da4f73334,Answer
emilija+100_L8gA@bss.mk,F,67b70a9f2d21f543a1096602,5c8a78336d41a10da4f73252,5c8a78336d41a10da4f73358,,5c8a78336d41a10da4f73359,Answer
emilija+100_L8gA@bss.mk,F,67b70a9f2d21f543a1096602,5c8a78336d41a10da4f73252,5c8a78336d41a10da4f73358,,5c8a78336d41a10da4f7335b,Answer
emilija+100_L8gA@bss.mk,F,67b70a9f2d21f543a1096602,5c8a78336d41a10da4f73252,5c8a78336d41a10da4f73358,,5c8a78336d41a10da4f7335c,Answer
emilija+100_L8gA@bss.mk,F,67b70a9f2d21f543a1096602,5c8a78336d41a10da4f73252,5c8a78336d41a10da4f732ed,,5c8a78336d41a10da4f732ef,Answer
emilija+100_L8gA@bss.mk,F,67b70a9f2d21f543a1096602,5c8a78336d41a10da4f7336c,5c8a78336d41a10da4f7336d,,5c8a78336d41a10da4f73371,Answer
emilija+100_L8gA@bss.mk,F,67b70a9f2d21f543a1096602,5c8a78336d41a10da4f7337a,5c8a78336d41a10da4f7337b,,5c8a78336d41a10da4f7337c,Answer
emilija+100_L8gA@bss.mk,F,67b70a9f2d21f543a1096602,5c8a78336d41a10da4f7337a,5c8a78336d41a10da4f7337e,,5c8a78336d41a10da4f7337f,Answer
aleksandar.dimkov+mitt1_n5eA@bss.com.mk,M,67ada1ee197e604dd2722d1b,5c8a78336d41a10da4f730ef,5c8a78336d41a10da4f730f0,,5c8a78336d41a10da4f730f2,Answer
aleksandar.dimkov+mitt1_n5eA@bss.com.mk,M,67ada1ee197e604dd2722d1b,6507da8d9e117216630ef7ed,6507de7e9e117216630ef7f2,aleksandar.dimkov+mitt1_n5eA@bss.com.mk,,Answer
